# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "../mm10-allGenes.gtf" "-o" "CD24Mid-1.counts.txt" "CD24Mid-1.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	CD24Mid-1.filtered.bam
ENSMUST00000144778.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131887;3132216;3132887;3133072;3134318;3134626;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3144217;3144792;3145241;3153432;3155399;3156772;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3132131;3132327;3132965;3133207;3134501;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3144292;3144970;3145322;3153498;3155496;3156864;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193439	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4289	0
ENSMUST00000126746.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131888;3132216;3132887;3133072;3134318;3134659;3135283;3135654;3135943;3136625;3136946;3140137;3144792;3145241;3146162;3153432;3155399;3156772;3157866;3159985;3164557	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3144970;3145322;3146292;3153498;3155496;3156864;3157936;3160146;3164597	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2596	0
ENSMUST00000144359.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131889;3132216;3132887;3133072;3134318;3134626;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3144217;3144792;3145241;3146162;3153432;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3132131;3132327;3132965;3133207;3134501;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3144292;3144970;3145322;3146292;3153498;3170704;3177521;3179507;3186136;3187410;3189056;3193411	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3706	0
ENSMUST00000132893.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131889;3132216;3135731;3135943;3136625;3136946;3140137;3142308;3143260;3144217;3144792;3145241;3146162;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3132131;3132272;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3144292;3144970;3145322;3146292;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193460	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2500	0
ENSMUST00000137633.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131890;3133072;3134318;3134626;3135654;3135943;3136625;3136946;3140137;3142308	3132965;3133207;3134501;3135542;3135830;3136017;3136699;3137106;3140233;3142378	-;-;-;-;-;-;-;-;-;-	2969	0
ENSMUST00000138126.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3134932;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3144217;3144792;3145241;3146162;3153432;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3144292;3144970;3145322;3146292;3153498;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193421	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2916	0
ENSMUST00000131021.1	chr11;chr11;chr11	3142048;3142594;3143180	3142111;3142669;3143363	+;+;+	324	5
ENSMUST00000133882.1	chr11;chr11;chr11	3144220;3144792;3146162	3144292;3144970;3146356	-;-;-	447	0
ENSMUST00000146888.1	chr11;chr11;chr11	3144881;3145241;3146162	3144970;3145322;3146722	-;-;-	733	26
ENSMUST00000120853.1	chr11	3149742	3150955	-	1214	26
ENSMUST00000141422.7	chr11;chr11;chr11;chr11	3153384;3164557;3170587;3177427	3153498;3164713;3170704;3177493	-;-;-;-	457	1
ENSMUST00000156655.7	chr11;chr11;chr11;chr11	3156812;3165254;3165576;3170587	3156864;3165321;3165678;3170704	-;-;-;-	342	0
ENSMUST00000143442.1	chr11;chr11;chr11;chr11;chr11	3160035;3165254;3165576;3170587;3176378	3160146;3165321;3165678;3170704;3176466	-;-;-;-;-	490	0
ENSMUST00000142315.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3165576;3170587;3177427;3179397;3186065;3187240;3188878;3193360	3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193424	-;-;-;-;-;-;-;-	914	0
ENSMUST00000155763.7	chr11;chr11;chr11;chr11;chr11	3165625;3170587;3177427;3186065;3187240	3165678;3170704;3177521;3186136;3187355	-;-;-;-;-	455	0
ENSMUST00000118627.1	chr11;chr11;chr11;chr11;chr11	3185568;3186065;3187240;3188941;3193360	3185974;3186136;3187410;3189056;3193424	-;-;-;-;-	831	0
ENSMUST00000159304.7	chr11;chr11;chr11;chr11	3187360;3188941;3252160;3252644	3187410;3189056;3252282;3252685	-;-;-;-	332	0
ENSMUST00000146218.1	chr11;chr11	3193516;3193812	3193714;3194263	-;-	651	0
ENSMUST00000119333.1	chr11	3196454	3196824	-	371	0
ENSMUST00000020734.10	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3202392;3203630;3213260;3215592;3220244;3221093;3224632;3227395;3227706;3229869;3234462;3235581;3236214;3239401;3240895;3242377;3243183;3243851	3202556;3203750;3213333;3215719;3220530;3221294;3224807;3227530;3227885;3230101;3234645;3235660;3236353;3239485;3241027;3242718;3243350;3244581	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3565	2
ENSMUST00000125224.7	chr11;chr11;chr11;chr11;chr11	3202663;3203630;3213260;3215592;3220244	3202797;3203750;3213333;3215719;3222331	+;+;+;+;+	2546	21
ENSMUST00000110049.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3202663;3203630;3213260;3215592;3220244;3221093;3224632;3227395;3227706;3229869;3233988;3234462;3235581;3236214;3239401;3240895;3242377;3243183;3243851	3202797;3203750;3213333;3215719;3220530;3221294;3224807;3227530;3227885;3230101;3234059;3234645;3235660;3236353;3239485;3241027;3242718;3243350;3244588	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3614	0
ENSMUST00000131693.1	chr11;chr11;chr11	3202689;3203630;3213260	3202797;3203750;3213434	+;+;+	405	0
ENSMUST00000125637.7	chr11;chr11;chr11;chr11;chr11	3202734;3203630;3213260;3215592;3220244	3202992;3203750;3213333;3215719;3220530	+;+;+;+;+	869	3
ENSMUST00000179770.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3202995;3203630;3213260;3215592;3220244;3221093;3224632;3227395;3227706;3229869;3233988;3234462;3235581;3236214;3239401;3240895;3242377;3243183;3243851	3203194;3203750;3213333;3215719;3220530;3221294;3224807;3227530;3227885;3230101;3234059;3234645;3235660;3236353;3239485;3241027;3242718;3243350;3244585	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3676	0
ENSMUST00000110048.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3203021;3203630;3213260;3215592;3220244;3221093;3224632;3227395;3227706;3229869;3234462;3235581;3236214;3239401;3240895;3242377;3243183;3243851	3203326;3203750;3213333;3215719;3220530;3221294;3224807;3227530;3227885;3230101;3234645;3235660;3236353;3239485;3241027;3242718;3243350;3244587	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3712	13
ENSMUST00000120721.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3203630;3213260;3215592;3224632;3227395;3227706;3229869;3233988;3234462;3235581;3236214;3239401;3240895;3242377;3243183;3243851	3203750;3213333;3215719;3224807;3227530;3227885;3230065;3234059;3234645;3235660;3236353;3239485;3241027;3242718;3243350;3244586	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2952	0
ENSMUST00000132425.7	chr11;chr11	3227767;3229968	3227885;3230149	+;+	301	0
ENSMUST00000143770.1	chr11;chr11	3227767;3229869	3227885;3230186	+;+	437	2
ENSMUST00000135223.1	chr11;chr11;chr11;chr11;chr11;chr11;chr11	3227813;3229869;3233988;3234585;3235581;3236214;3239401	3227885;3230101;3234059;3234645;3235660;3236353;3239459	+;+;+;+;+;+;+	718	0
ENSMUST00000127950.7	chr11;chr11;chr11;chr11;chr11	3234219;3235581;3236214;3239401;3240895	3234645;3235660;3236353;3239485;3240975	+;+;+;+;+	813	8
ENSMUST00000147534.1	chr11;chr11;chr11	3235545;3236214;3239401	3235660;3236353;3239441	+;+;+	297	2
ENSMUST00000020741.11	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3249907;3252160;3252644;3254512;3256543;3259306;3262489;3264767;3266269	3250365;3252282;3252811;3254642;3256712;3259375;3262664;3264890;3266393	-;-;-;-;-;-;-;-;-	1546	148
ENSMUST00000139430.1	chr11;chr11;chr11	3250097;3252160;3252644	3250365;3252282;3252859	-;-;-	608	4
ENSMUST00000142605.7	chr11;chr11;chr11;chr11	3254411;3256543;3259306;3262489	3254642;3256712;3259375;3262536	-;-;-;-	520	5
ENSMUST00000166162.7	chr11;chr11;chr11;chr11	3256543;3259306;3264767;3266269	3256712;3259375;3264890;3266392	-;-;-;-	488	0
ENSMUST00000125424.1	chr11;chr11;chr11;chr11	3257730;3262489;3264767;3266269	3259375;3262664;3264890;3266415	-;-;-;-	2093	11
ENSMUST00000132159.1	chr11;chr11;chr11	3259327;3262489;3266269	3259375;3262664;3266393	-;-;-	350	0
ENSMUST00000142561.1	chr11;chr11	3288874;3289869	3289347;3290192	+;+	798	2
ENSMUST00000101644.9	chr11;chr11;chr11;chr11	3289167;3293280;3299034;3307648	3289347;3293343;3299205;3309083	+;+;+;+	1853	0
ENSMUST00000144396.7	chr11;chr11;chr11	3289202;3293280;3294456	3289347;3293343;3295089	+;+;+	844	0
ENSMUST00000134089.7	chr11;chr11;chr11;chr11;chr11;chr11	3289281;3293280;3294456;3299034;3306288;3307648	3289347;3293343;3294547;3299205;3306360;3309083	+;+;+;+;+;+	1904	0
ENSMUST00000094471.9	chr11;chr11;chr11	3289993;3293280;3294456	3291884;3293343;3295429	+;+;+	2930	32
ENSMUST00000110043.7	chr11;chr11;chr11;chr11;chr11	3289993;3293280;3299034;3306223;3307648	3291884;3293343;3299205;3306360;3309083	+;+;+;+;+	3702	0
ENSMUST00000057089.12	chr11;chr11;chr11;chr11	3290439;3293280;3299034;3307648	3291884;3293343;3299205;3309083	+;+;+;+	3118	0
ENSMUST00000093402.11	chr11;chr11;chr11;chr11;chr11	3290457;3293280;3299034;3306288;3307648	3291884;3293343;3299205;3306360;3309083	+;+;+;+;+	3173	0
ENSMUST00000123983.7	chr11;chr11;chr11;chr11;chr11	3291459;3293280;3294456;3299034;3307648	3291884;3293343;3294547;3299205;3308142	+;+;+;+;+	1249	0
ENSMUST00000153603.7	chr11;chr11;chr11	3292195;3293280;3294456	3292373;3293343;3294668	+;+;+	456	1
ENSMUST00000136285.1	chr11;chr11;chr11	3292868;3293280;3294456	3293015;3293343;3294895	+;+;+	652	0
ENSMUST00000154319.1	chr11;chr11;chr11	3298284;3299034;3307648	3298586;3299205;3307667	+;+;+	495	3
ENSMUST00000155332.1	chr11;chr11	3305426;3330914	3308114;3331178	-;-	2954	7
ENSMUST00000152576.1	chr11;chr11;chr11;chr11;chr11;chr11	3308996;3310990;3312532;3317282;3319237;3320598	3309323;3311136;3312625;3317350;3319346;3320722	+;+;+;+;+;+	873	37
ENSMUST00000045153.10	chr11;chr11;chr11;chr11;chr11;chr11	3330401;3331915;3332109;3333209;3333505;3341523	3331004;3332031;3332228;3333412;3333583;3342971	+;+;+;+;+;+	2573	84
ENSMUST00000149253.1	chr11;chr11	3330728;3331915	3331004;3332103	+;+	466	0
ENSMUST00000136536.7	chr11;chr11;chr11;chr11;chr11;chr11	3330787;3331915;3332109;3333209;3333505;3341523	3331004;3332031;3332249;3333412;3333583;3341683	+;+;+;+;+;+	920	0
ENSMUST00000153733.1	chr11;chr11;chr11	3330793;3331915;3333505	3331004;3333412;3333962	+;+;+	2168	0
ENSMUST00000093399.10	chr11;chr11;chr11;chr11;chr11	3330808;3331915;3332109;3333209;3333505	3331004;3332031;3332228;3333412;3333964	+;+;+;+;+	1098	0
ENSMUST00000142961.1	chr11;chr11;chr11	3332072;3333209;3333505	3332228;3333412;3333679	+;+;+	536	0
ENSMUST00000138907.7	chr11;chr11;chr11;chr11;chr11	3332109;3333209;3333505;3335719;3341523	3332228;3333412;3333583;3335831;3341674	+;+;+;+;+	668	0
ENSMUST00000136474.1	chr11;chr11;chr11;chr11	3332451;3333209;3333505;3341523	3332614;3333412;3333583;3341692	+;+;+;+	617	0
ENSMUST00000139139.1	chr11;chr11	3332972;3333505	3333412;3333960	+;+	897	0
ENSMUST00000130747.1	chr11;chr11	3334381;3341523	3334528;3342005	+;+	631	7
ENSMUST00000110029.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3344256;3346235;3347052;3347574;3348594;3350392;3350642;3352291;3353277;3355273;3355811;3356053	3345884;3346392;3347107;3347748;3348659;3350448;3350773;3352377;3353463;3355469;3355916;3356141	-;-;-;-;-;-;-;-;-;-;-;-	2939	5
ENSMUST00000101640.9	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3344256;3346235;3347052;3347574;3348594;3350392;3350642;3352291;3352900;3353277;3355273;3355811;3358110;3358995;3360451;3370969	3345884;3346392;3347107;3347748;3348659;3350448;3350773;3352377;3352917;3353463;3355469;3355916;3358298;3359104;3360586;3371376	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3711	0
ENSMUST00000101642.9	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3344256;3346235;3347052;3347574;3348594;3350392;3350642;3352291;3353277;3355273;3355811;3358110;3358995;3360451;3370969	3345884;3346392;3347107;3347748;3348659;3350448;3350773;3352377;3353463;3355469;3355916;3358298;3359104;3360586;3371376	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3693	0
ENSMUST00000134576.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3344256;3346235;3347052;3347574;3348594;3350392;3350642;3352291;3352900;3353277;3355273;3355811;3357972;3358995;3360451;3370969	3345884;3346392;3347107;3347748;3348659;3350448;3350773;3352377;3352917;3353463;3355469;3355916;3358298;3359104;3360586;3371376	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3849	55
ENSMUST00000101638.3	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3344256;3346235;3347052;3347574;3348594;3350392;3350642;3352291;3353277;3355273;3355811;3358110;3358995;3360451;3392917;3409046	3345884;3346392;3347107;3347748;3348659;3350448;3350773;3352377;3353463;3355469;3355916;3358298;3359104;3360586;3393016;3409174	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3514	4
ENSMUST00000148771.1	chr11;chr11;chr11	3350392;3350642;3352291	3350448;3350773;3352817	-;-;-	716	173
ENSMUST00000142926.7	chr11;chr11;chr11	3352770;3355273;3355811	3353463;3355469;3355868	-;-;-	949	81
ENSMUST00000123689.1	chr11;chr11;chr11;chr11	3353408;3355273;3355811;3356181	3353463;3355469;3355916;3356203	-;-;-;-	382	0
ENSMUST00000142322.1	chr11;chr11	3353573;3354860	3354059;3354911	-;-	539	45
ENSMUST00000125832.7	chr11;chr11;chr11;chr11;chr11	3355868;3358110;3358995;3360451;3409046	3355916;3358298;3359104;3360586;3409174	-;-;-;-;-	613	0
ENSMUST00000132479.1	chr11;chr11	3356185;3356614	3356502;3356760	-;-	465	61
ENSMUST00000148091.1	chr11;chr11;chr11;chr11	3358252;3358995;3360451;3368983	3358298;3359104;3360586;3369162	-;-;-;-	473	1
ENSMUST00000147344.1	chr11;chr11;chr11;chr11	3360535;3361021;3361783;3370969	3360586;3361108;3361825;3371335	-;-;-;-	550	5
ENSMUST00000145223.1	chr11;chr11	3396779;3409046	3397034;3409189	-;-	400	12
ENSMUST00000064364.2	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3415982;3419862;3425282;3426566;3428884;3432400;3438205;3452209	3418087;3419979;3425336;3426678;3428902;3432620;3438323;3452363	-;-;-;-;-;-;-;-	2906	1
ENSMUST00000077078.11	chr11;chr11;chr11;chr11;chr11;chr11;chr11	3415982;3419862;3425282;3426566;3428884;3432400;3452209	3418087;3419979;3425336;3426678;3428902;3432620;3452363	-;-;-;-;-;-;-	2787	0
ENSMUST00000144055.1	chr11;chr11;chr11;chr11;chr11;chr11	3417876;3419862;3425282;3426566;3428884;3452209	3418087;3419979;3425336;3426678;3428902;3452334	-;-;-;-;-;-	643	0
ENSMUST00000136038.1	chr11;chr11	3452365;3456763	3452434;3457099	+;+	407	0
ENSMUST00000144844.1	chr11;chr11	3452437;3456763	3452740;3456963	+;+	505	0
ENSMUST00000146456.1	chr11;chr11	3452472;3456763	3452570;3458338	+;+	1675	106
ENSMUST00000142397.1	chr11;chr11;chr11;chr11	3452472;3471332;3479260;3479642	3452740;3471586;3479513;3479831	+;+;+;+	968	7
ENSMUST00000154397.1	chr11;chr11;chr11	3452480;3452644;3456763	3452570;3452740;3457016	+;+;+	442	0
ENSMUST00000120551.1	chr11	3470902	3471377	-	476	10
ENSMUST00000157894.1	chr11	3474285	3474401	-	117	0
ENSMUST00000064265.12	chr11;chr11;chr11;chr11;chr11;chr11;chr11	3488284;3489762;3490143;3490807;3491892;3492126;3492970	3488853;3489894;3490277;3491090;3492021;3492242;3494166	+;+;+;+;+;+;+	2566	0
ENSMUST00000044682.6	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3488299;3489762;3490143;3490807;3491892;3492126;3497933;3498228	3488853;3489894;3490277;3491090;3492021;3492242;3498063;3499350	+;+;+;+;+;+;+;+	2608	65
ENSMUST00000151860.1	chr11;chr11;chr11;chr11;chr11	3488990;3490143;3490807;3491892;3492970	3489894;3490277;3491090;3492242;3494163	+;+;+;+;+	2869	9
ENSMUST00000044507.11	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3494375;3495347;3495560;3495785;3499597;3499891;3500138;3500574;3501046;3501320;3501525;3501987;3504644	3495166;3495451;3495637;3495922;3499780;3500000;3500249;3500749;3501162;3501428;3501638;3503143;3504821	-;-;-;-;-;-;-;-;-;-;-;-;-	3370	0
ENSMUST00000148939.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3494382;3495347;3495560;3495785;3499597;3499891;3500138;3500574;3501046;3501320;3501525;3501987	3495261;3495451;3495637;3495922;3499780;3500000;3500249;3500749;3501162;3501428;3501638;3502134	-;-;-;-;-;-;-;-;-;-;-;-	2271	1
ENSMUST00000110018.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3494382;3495347;3495560;3495785;3499597;3499891;3500138;3500574;3501046;3501320;3501525;3501987;3503082;3504644	3495166;3495451;3495637;3495922;3499780;3500000;3500249;3500749;3501162;3501428;3501638;3502152;3503143;3504771	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2384	0
ENSMUST00000154756.1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3494382;3495347;3495560;3495785;3499597;3499891;3500138;3500574;3501046;3501320;3501525;3501987;3504644	3494574;3495451;3495637;3495922;3499780;3500000;3500249;3500749;3501162;3501428;3501638;3503143;3504774	-;-;-;-;-;-;-;-;-;-;-;-;-	2724	0
ENSMUST00000110019.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3494547;3495347;3495560;3495785;3499597;3499891;3500138;3500574;3501046;3501320;3501525;3504644	3495166;3495451;3495637;3495922;3499780;3500000;3500249;3500749;3501162;3501428;3501723;3504786	-;-;-;-;-;-;-;-;-;-;-;-	2091	6
ENSMUST00000183684.1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3498950;3499891;3500138;3500574;3501046;3501525;3501987;3503906	3499780;3500000;3500249;3500749;3501428;3501638;3502799;3504799	-;-;-;-;-;-;-;-	3433	16
ENSMUST00000123677.1	chr11;chr11	3514684;3516261	3515073;3517348	+;+	1478	0
ENSMUST00000131865.1	chr11;chr11;chr11;chr11	3514702;3516261;3516486;3517002	3515073;3516296;3516920;3517130	+;+;+;+	972	0
ENSMUST00000094469.4	chr11;chr11;chr11;chr11;chr11	3514867;3516261;3516486;3516842;3517002	3515073;3516296;3516520;3516920;3517351	+;+;+;+;+	707	0
