#1.2									
2998	8								
NAME	description	CD24Mid-1	CD24Neg-2	CD24Mid-3	CD24Neg-4	CD24Mid-5	CD24Neg-6	CD24Mid-7	CD24Neg-8
ENSMUSG00000017211	NA	21	16	31	9	18	11	27	3
ENSMUSG00000017221	NA	7246	2503	7288	2686	6760	3797	8030	2858
ENSMUSG00000017286	NA	1838	582	2132	467	1941	923	1894	483
ENSMUSG00000017288	NA	2236	1094	2123	1047	2016	1752	2254	1248
ENSMUSG00000017291	NA	2237	850	2415	1278	4358	2336	4423	1503
ENSMUSG00000017309	NA	0	0	0	0	2	0	0	0
ENSMUSG00000017311	NA	210	53	680	58	275	29	231	18
ENSMUSG00000017314	NA	8	4	39	4	22	0	16	2
ENSMUSG00000017316	NA	0	0	2	0	0	0	0	0
ENSMUSG00000017344	NA	0	0	0	0	0	2	0	0
ENSMUSG00000017376	NA	554	291	673	285	862	482	1050	289
ENSMUSG00000017386	NA	3477	1585	2877	1197	3448	1315	2855	1288
ENSMUSG00000017390	NA	136	217	110	260	85	305	112	186
ENSMUSG00000017400	NA	23	0	22	0	10	2	26	0
ENSMUSG00000017404	NA	21077	5363	22705	4076	18533	5339	18236	4115
ENSMUSG00000017405	NA	382	121	317	106	324	104	338	105
ENSMUSG00000017417	NA	29	5	26	16	35	4	35	0
ENSMUSG00000017421	NA	5772	1822	6460	2049	6658	2923	7824	2315
ENSMUSG00000017428	NA	3243	1060	3981	1114	3940	1768	4174	1291
ENSMUSG00000017446	NA	12	2	19	3	19	0	20	2
ENSMUSG00000017453	NA	1346	1106	1070	1073	993	1734	1117	997
ENSMUSG00000017466	NA	40	43	79	10	50	9	62	21
ENSMUSG00000017493	NA	2170	56	3081	106	2030	55	1906	71
ENSMUSG00000017499	NA	1068	53	1322	119	1301	95	1239	161
ENSMUSG00000017548	NA	3497	722	4498	1126	6308	1604	6911	1189
ENSMUSG00000017550	NA	771	31	840	75	1575	118	1687	94
ENSMUSG00000017561	NA	447	227	472	207	435	355	555	279
ENSMUSG00000017588	NA	2	0	0	0	0	0	0	2
ENSMUSG00000017607	NA	2668	855	2818	659	2712	863	2916	630
ENSMUSG00000017615	NA	4168	3191	3732	3231	4235	5791	4483	3153
ENSMUSG00000017631	NA	8880	8248	7298	7920	8901	16041	8857	9323
ENSMUSG00000017639	NA	72	322	86	309	71	636	63	392
ENSMUSG00000017677	NA	2936	1766	3038	1978	3879	3632	3743	2433
ENSMUSG00000017686	NA	1555	543	1760	593	2157	1127	2234	691
ENSMUSG00000017692	NA	14	2	15	6	24	4	19	3
ENSMUSG00000017713	NA	610	511	404	500	426	703	425	586
ENSMUSG00000017715	NA	1385	574	1136	513	1289	727	1419	662
ENSMUSG00000017716	NA	3502	150	4112	262	3764	235	3924	339
ENSMUSG00000017718	NA	147	143	114	120	100	218	109	136
ENSMUSG00000017724	NA	120	2	150	0	109	1	128	6
ENSMUSG00000017747	NA	292	259	246	282	291	433	317	297
ENSMUSG00000017774	NA	2665	798	2921	780	2848	987	3099	747
ENSMUSG00000017776	NA	4520	1817	5330	2169	6774	3730	7176	2343
ENSMUSG00000017781	NA	8405	6509	7357	6428	7181	11214	8351	7425
ENSMUSG00000017801	NA	2327	1799	1950	1671	2232	3138	2215	1779
ENSMUSG00000017802	NA	2829	1510	3349	1911	3046	2890	2972	1491
ENSMUSG00000017830	NA	187	137	147	141	161	383	172	217
ENSMUSG00000017832	NA	15	12	6	8	5	6	29	5
ENSMUSG00000017837	NA	2222	1464	1949	1540	1967	2421	2016	1358
ENSMUSG00000018012	NA	89	22	75	27	84	50	97	34
ENSMUSG00000018068	NA	1029	190	1110	210	1992	362	2085	332
ENSMUSG00000018160	NA	3105	949	3337	1132	4785	2116	4959	1406
ENSMUSG00000018167	NA	1570	869	1420	823	1405	1359	1555	965
ENSMUSG00000018168	NA	70	274	43	25	65	83	160	279
ENSMUSG00000018171	NA	5085	5112	4275	6728	5068	11872	5778	6028
ENSMUSG00000018217	NA	31	304	41	998	8	1049	17	598
ENSMUSG00000018238	NA	16	11	8	34	6	59	14	46
ENSMUSG00000018239	NA	179	50	230	102	236	122	248	112
ENSMUSG00000018286	NA	4750	2205	5165	1995	3871	2670	4359	2069
ENSMUSG00000018287	NA	1398	584	1412	567	1351	895	1258	563
ENSMUSG00000018293	NA	28579	15565	29173	16200	23901	21362	24771	14444
ENSMUSG00000018334	NA	2552	2786	1816	3079	2342	5643	2694	3368
ENSMUSG00000018339	NA	147	43	569	74	505	71	368	64
ENSMUSG00000018340	NA	203	70	218	25	222	59	263	93
ENSMUSG00000018347	NA	487	304	551	264	511	374	452	324
ENSMUSG00000018362	NA	6846	1133	9332	1504	8015	1866	8910	1340
ENSMUSG00000018363	NA	1838	897	2076	1156	2887	2033	2741	1115
ENSMUSG00000018372	NA	586	161	505	230	750	478	729	351
ENSMUSG00000018377	NA	1556	481	2133	745	2826	1204	2535	649
ENSMUSG00000018378	NA	258	275	381	457	302	627	271	238
ENSMUSG00000018379	NA	11260	1847	14427	2244	16784	3599	16950	2597
ENSMUSG00000018381	NA	60	67	74	57	54	53	55	56
ENSMUSG00000018387	NA	131	184	90	142	61	191	91	185
ENSMUSG00000018395	NA	139	42	215	64	305	133	220	75
ENSMUSG00000018398	NA	1363	312	1462	322	1474	330	1583	366
ENSMUSG00000018401	NA	1969	2976	2083	3590	2620	7436	2719	3818
ENSMUSG00000018405	NA	965	328	779	280	810	379	892	431
ENSMUSG00000018411	NA	251	43	171	36	151	26	220	34
ENSMUSG00000018412	NA	2347	686	2707	817	3328	1324	3431	996
ENSMUSG00000018415	NA	2154	561	2863	728	3337	1103	2737	566
ENSMUSG00000018425	NA	1090	486	1423	602	1532	1354	1598	673
ENSMUSG00000018427	NA	442	576	562	992	544	1613	771	1016
ENSMUSG00000018428	NA	5055	983	3954	950	5703	1571	5312	1063
ENSMUSG00000018433	NA	1030	216	1449	247	1682	367	1753	282
ENSMUSG00000018442	NA	1741	759	1769	930	1888	1526	2118	898
ENSMUSG00000018446	NA	7735	967	8613	1010	8095	1005	8659	986
ENSMUSG00000018449	NA	421	99	463	119	394	142	382	140
ENSMUSG00000018451	NA	10	8	7	0	4	2	12	4
ENSMUSG00000018470	NA	38	0	18	2	26	2	23	6
ENSMUSG00000018474	NA	4226	7369	3189	8255	4434	16812	4310	11913
ENSMUSG00000018476	NA	2843	1811	2371	1928	3267	3190	3450	2425
ENSMUSG00000018479	NA	3	0	0	0	0	0	0	0
ENSMUSG00000018481	NA	2121	511	2609	650	3504	991	3389	632
ENSMUSG00000018486	NA	27	2	58	14	62	10	47	8
ENSMUSG00000018500	NA	16	79	15	184	26	367	60	183
ENSMUSG00000018501	NA	8975	5194	9537	7104	14703	15719	13944	7788
ENSMUSG00000018507	NA	22	16	16	14	16	21	38	21
ENSMUSG00000018509	NA	3479	1317	3609	1317	3205	2289	3149	1162
ENSMUSG00000018537	NA	1351	493	1396	428	1230	618	1057	558
ENSMUSG00000018541	NA	606	284	634	286	662	483	699	345
ENSMUSG00000018543	NA	7	2	8	0	16	3	3	2
ENSMUSG00000018547	NA	483	95	648	81	672	116	581	85
ENSMUSG00000018548	NA	1873	110	2656	141	3050	168	2846	204
ENSMUSG00000018554	NA	541	75	404	65	449	46	377	70
ENSMUSG00000018559	NA	3528	1397	3620	1531	3258	2178	3435	1514
ENSMUSG00000018565	NA	1516	565	1596	541	1457	857	1334	528
ENSMUSG00000018566	NA	16	6	5	4	13	8	8	8
ENSMUSG00000018567	NA	6344	4978	6172	5386	5260	8388	5471	4547
ENSMUSG00000018569	NA	28018	13073	26685	13152	24808	19679	26783	13129
ENSMUSG00000018570	NA	475	249	489	198	374	294	384	243
ENSMUSG00000018572	NA	1339	548	1340	571	1474	846	1272	661
ENSMUSG00000018574	NA	3935	2308	2850	2388	4415	3632	2763	1964
ENSMUSG00000018583	NA	11084	1512	13297	1639	14539	2424	14173	1771
ENSMUSG00000018585	NA	1472	1155	1433	1228	1150	1829	1240	1151
ENSMUSG00000018593	NA	2	2	1	2	2	0	0	6
ENSMUSG00000018599	NA	418	309	339	323	390	524	345	307
ENSMUSG00000018634	NA	0	0	0	0	0	0	0	0
ENSMUSG00000018648	NA	21	2	10	44	15	30	14	20
ENSMUSG00000018651	NA	630	78	687	100	791	124	720	108
ENSMUSG00000018654	NA	125	144	66	15	89	47	155	104
ENSMUSG00000018659	NA	2238	1397	2203	1445	1793	1943	2161	1182
ENSMUSG00000018661	NA	2569	1385	2803	1415	3143	2091	2944	1420
ENSMUSG00000018666	NA	3298	618	4146	766	4267	1126	4349	766
ENSMUSG00000018669	NA	2015	1525	2025	1267	1649	1819	1913	1437
ENSMUSG00000018672	NA	14	2	24	8	13	2	21	6
ENSMUSG00000018677	NA	9006	4053	9742	4485	8184	6294	8277	3260
ENSMUSG00000018678	NA	958	288	1087	291	901	465	1059	289
ENSMUSG00000018697	NA	1494	175	1663	193	1811	277	1728	178
ENSMUSG00000018698	NA	22	0	16	2	49	7	31	0
ENSMUSG00000018727	NA	26	7	26	13	23	10	24	15
ENSMUSG00000018733	NA	636	170	641	234	591	289	577	163
ENSMUSG00000018736	NA	947	482	869	502	1095	806	1149	487
ENSMUSG00000018740	NA	378	121	593	195	379	128	475	115
ENSMUSG00000018750	NA	313	221	342	217	381	272	320	167
ENSMUSG00000018752	NA	20	10	48	9	16	8	34	16
ENSMUSG00000018761	NA	3214	1529	2983	1692	2483	2105	2964	1589
ENSMUSG00000018765	NA	2399	1062	2466	983	2625	1679	2402	1347
ENSMUSG00000018774	NA	185	37	100	21	194	39	184	36
ENSMUSG00000018776	NA	2	0	2	0	4	0	7	8
ENSMUSG00000018800	NA	10	12	32	20	36	23	38	8
ENSMUSG00000018809	NA	270	33	307	41	347	71	339	36
ENSMUSG00000018841	NA	789	254	918	206	937	398	944	285
ENSMUSG00000018844	NA	6	0	14	0	14	0	6	0
ENSMUSG00000018845	NA	2	0	0	0	0	0	0	0
ENSMUSG00000018846	NA	5163	2436	4674	4172	9114	7107	7545	3502
ENSMUSG00000018848	NA	4938	1769	4841	1724	5573	2818	6050	2147
ENSMUSG00000018849	NA	2810	2335	2181	2159	3078	4433	2808	2554
ENSMUSG00000018858	NA	1289	494	1418	473	1255	704	1265	454
ENSMUSG00000018861	NA	675	199	688	247	586	325	545	250
ENSMUSG00000018862	NA	251	1599	85	1682	145	1919	80	603
ENSMUSG00000018882	NA	2285	678	2694	545	2344	1063	2399	738
ENSMUSG00000018899	NA	5731	3802	4519	3566	4855	7000	6558	4965
ENSMUSG00000018900	NA	1638	1286	1255	1847	1595	2930	1422	1779
ENSMUSG00000018906	NA	16	8	12	6	19	5	32	8
ENSMUSG00000018907	NA	0	0	0	0	0	0	0	0
ENSMUSG00000018914	NA	0	0	0	0	0	0	0	0
ENSMUSG00000018916	NA	0	31	0	44	2	44	0	47
ENSMUSG00000018919	NA	7763	8704	5265	9550	5177	15453	5555	7553
ENSMUSG00000018920	NA	189	265	138	354	149	428	179	256
ENSMUSG00000018921	NA	2514	309	2735	311	2859	448	2803	340
ENSMUSG00000018923	NA	596	294	700	305	551	453	549	288
ENSMUSG00000018924	NA	6	0	6	2	9	0	19	4
ENSMUSG00000018925	NA	3	13	0	9	0	10	3	18
ENSMUSG00000018927	NA	2380	2790	3042	2808	2440	2456	2113	1627
ENSMUSG00000018930	NA	39	56	0	2	12	29	32	36
ENSMUSG00000018931	NA	220	159	331	163	302	221	282	136
ENSMUSG00000018932	NA	4192	2360	4028	2583	4022	3192	4198	2121
ENSMUSG00000018973	NA	0	0	0	0	0	0	0	0
ENSMUSG00000018986	NA	2	2	0	0	0	1	0	2
ENSMUSG00000019102	NA	0	0	0	0	2	0	0	0
ENSMUSG00000019122	NA	836	118	1673	133	1172	106	905	89
ENSMUSG00000019173	NA	5897	4082	6097	4471	5245	6842	6299	4017
ENSMUSG00000019189	NA	2486	787	2450	494	2657	639	3344	688
ENSMUSG00000019301	NA	4	0	0	4	2	2	0	0
ENSMUSG00000019302	NA	1731	3128	1349	3758	1510	5494	1718	4980
ENSMUSG00000019303	NA	162	12	178	25	190	31	201	16
ENSMUSG00000019312	NA	5105	1938	6509	2716	5118	3650	5340	2572
ENSMUSG00000019326	NA	19	8	30	6	18	1	22	20
ENSMUSG00000019368	NA	2	0	4	0	6	2	3	0
ENSMUSG00000019373	NA	1909	571	2189	602	2148	1020	2283	658
ENSMUSG00000019437	NA	386	135	392	111	343	186	334	136
ENSMUSG00000019461	NA	661	277	767	216	702	368	698	253
ENSMUSG00000019505	NA	35972	19354	35338	23316	32788	38081	32086	21383
ENSMUSG00000019590	NA	3568	1651	3601	1850	3439	2869	3462	1533
ENSMUSG00000019761	NA	113	52	130	37	137	55	127	31
ENSMUSG00000020116	NA	1310	269	1571	272	1627	432	1776	350
ENSMUSG00000020120	NA	88	66	40	11	69	35	155	77
ENSMUSG00000020122	NA	1625	285	1562	445	2612	600	2517	343
ENSMUSG00000020128	NA	2208	1106	2220	1613	3145	2470	3559	1632
ENSMUSG00000020134	NA	1917	1284	1884	1408	2867	2832	3074	1709
ENSMUSG00000020142	NA	133	32	160	45	157	18	182	21
ENSMUSG00000020143	NA	107	143	71	14	70	32	159	126
ENSMUSG00000020149	NA	8190	5683	8340	6802	10092	11983	10808	6782
ENSMUSG00000020152	NA	6698	2901	7295	3681	9667	6048	11331	4378
ENSMUSG00000020155	NA	0	0	2	0	0	0	2	0
ENSMUSG00000020159	NA	0	0	0	0	0	0	0	0
ENSMUSG00000020160	NA	3	0	2	0	6	0	10	0
ENSMUSG00000020173	NA	2421	5003	2149	5717	2418	11443	2309	5133
ENSMUSG00000020176	NA	20	0	16	2	24	1	20	7
ENSMUSG00000020182	NA	3488	4246	3217	5968	3875	10094	3316	4227
ENSMUSG00000020191	NA	0	0	0	0	0	0	0	0
ENSMUSG00000020193	NA	0	4	2	0	0	2	0	1
ENSMUSG00000020261	NA	925	1609	900	2073	1054	4129	1107	2361
ENSMUSG00000020264	NA	0	0	0	0	2	0	0	0
ENSMUSG00000020267	NA	8847	3496	8441	3469	7307	4684	7647	2958
ENSMUSG00000020268	NA	212	60	192	56	270	106	242	54
