# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "../mm10-chr11.gtf" "-o" "CD24Mid-7.counts2.txt" "CD24Mid-7.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	CD24Mid-7.filtered.bam
ENSMUSG00000084941	11;11;11;11;11;11	3308996;3310990;3312532;3317282;3319237;3320598	3309323;3311136;3312625;3317350;3319346;3320722	+;+;+;+;+;+	873	44
ENSMUSG00000034614	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3330401;3330728;3330787;3330793;3330808;3331915;3331915;3331915;3331915;3331915;3332072;3332109;3332109;3332109;3332109;3332451;3332972;3333209;3333209;3333209;3333209;3333209;3333209;3333505;3333505;3333505;3333505;3333505;3333505;3333505;3333505;3334381;3335719;3341523;3341523;3341523;3341523;3341523	3331004;3331004;3331004;3331004;3331004;3333412;3332031;3332103;3332031;3332031;3332228;3332228;3332228;3332249;3332228;3332614;3333412;3333412;3333412;3333412;3333412;3333412;3333412;3333960;3333583;3333964;3333679;3333583;3333962;3333583;3333583;3334528;3335831;3342005;3341692;3341674;3341683;3342971	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4272	188
ENSMUSG00000020451	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3344256;3344256;3344256;3344256;3344256;3346235;3346235;3346235;3346235;3346235;3347052;3347052;3347052;3347052;3347052;3347574;3347574;3347574;3347574;3347574;3348594;3348594;3348594;3348594;3348594;3350392;3350392;3350392;3350392;3350392;3350392;3350642;3350642;3350642;3350642;3350642;3350642;3352291;3352291;3352291;3352291;3352291;3352291;3352770;3352900;3352900;3353277;3353277;3353277;3353277;3353277;3353408;3355273;3355273;3355273;3355273;3355273;3355273;3355273;3355811;3355811;3355811;3355811;3355811;3355811;3355811;3355868;3356053;3356181;3356185;3356614;3357972;3358110;3358110;3358110;3358110;3358252;3358995;3358995;3358995;3358995;3358995;3358995;3360451;3360451;3360451;3360451;3360451;3360451;3360535;3361021;3361783;3368983;3370969;3370969;3370969;3370969;3392917;3396779;3409046;3409046;3409046	3345884;3345884;3345884;3345884;3345884;3346392;3346392;3346392;3346392;3346392;3347107;3347107;3347107;3347107;3347107;3347748;3347748;3347748;3347748;3347748;3348659;3348659;3348659;3348659;3348659;3350448;3350448;3350448;3350448;3350448;3350448;3350773;3350773;3350773;3350773;3350773;3350773;3352817;3352377;3352377;3352377;3352377;3352377;3353463;3352917;3352917;3353463;3353463;3353463;3353463;3353463;3353463;3355469;3355469;3355469;3355469;3355469;3355469;3355469;3355868;3355916;3355916;3355916;3355916;3355916;3355916;3355916;3356141;3356203;3356502;3356760;3358298;3358298;3358298;3358298;3358298;3358298;3359104;3359104;3359104;3359104;3359104;3359104;3360586;3360586;3360586;3360586;3360586;3360586;3360586;3361108;3361825;3369162;3371335;3371376;3371376;3371376;3393016;3397034;3409189;3409174;3409174	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6099	8375
ENSMUSG00000087055	11;11	3353573;3354860	3354059;3354911	-;-	539	42
ENSMUSG00000020448	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3415982;3415982;3417876;3419862;3419862;3419862;3425282;3425282;3425282;3426566;3426566;3426566;3428884;3428884;3428884;3432400;3432400;3438205;3452209;3452209;3452209	3418087;3418087;3418087;3419979;3419979;3419979;3425336;3425336;3425336;3426678;3426678;3426678;3428902;3428902;3428902;3432620;3432620;3438323;3452334;3452363;3452363	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2906	1259
ENSMUSG00000034587	11;11;11;11;11;11;11;11;11;11;11;11;11	3452365;3452437;3452472;3452472;3452480;3452644;3456763;3456763;3456763;3456763;3471332;3479260;3479642	3452434;3452740;3452570;3452740;3452570;3452740;3457016;3457099;3458338;3456963;3471586;3479513;3479831	+;+;+;+;+;+;+;+;+;+;+;+;+	2649	184
ENSMUSG00000081059	11	3470902	3471377	-	476	18
ENSMUSG00000088519	11	3474285	3474401	-	117	0
ENSMUSG00000034579	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3488284;3488299;3488990;3489762;3489762;3490143;3490143;3490143;3490807;3490807;3490807;3491892;3491892;3491892;3492126;3492126;3492970;3492970;3497933;3498228	3488853;3488853;3489894;3489894;3489894;3490277;3490277;3490277;3491090;3491090;3491090;3492242;3492021;3492021;3492242;3492242;3494163;3494166;3498063;3499350	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4696	189
ENSMUSG00000034570	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3494375;3494382;3494382;3494382;3494547;3495347;3495347;3495347;3495347;3495347;3495560;3495560;3495560;3495560;3495560;3495785;3495785;3495785;3495785;3495785;3498950;3499597;3499597;3499597;3499597;3499597;3499891;3499891;3499891;3499891;3499891;3499891;3500138;3500138;3500138;3500138;3500138;3500138;3500574;3500574;3500574;3500574;3500574;3500574;3501046;3501046;3501046;3501046;3501046;3501046;3501320;3501320;3501320;3501320;3501320;3501525;3501525;3501525;3501525;3501525;3501525;3501987;3501987;3501987;3501987;3501987;3503082;3503906;3504644;3504644;3504644;3504644	3495166;3494574;3495166;3495261;3495166;3495451;3495451;3495451;3495451;3495451;3495637;3495637;3495637;3495637;3495637;3495922;3495922;3495922;3495922;3495922;3499780;3499780;3499780;3499780;3499780;3499780;3500000;3500000;3500000;3500000;3500000;3500000;3500249;3500249;3500249;3500249;3500249;3500249;3500749;3500749;3500749;3500749;3500749;3500749;3501428;3501162;3501162;3501162;3501162;3501162;3501428;3501428;3501428;3501428;3501428;3501638;3501723;3501638;3501638;3501638;3501638;3502799;3503143;3502152;3502134;3503143;3503143;3504799;3504786;3504774;3504771;3504821	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5092	1788
ENSMUSG00000075702	11;11;11;11;11;11;11;11;11;11;11	3514684;3514702;3514867;3516261;3516261;3516261;3516486;3516486;3516842;3517002;3517002	3515073;3515073;3515073;3516296;3517348;3516296;3516520;3516920;3516920;3517351;3517130	+;+;+;+;+;+;+;+;+;+;+	1481	1015
ENSMUSG00000020439	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3517523;3517523;3517523;3517523;3517523;3517523;3520538;3520752;3520752;3520752;3520752;3520848;3521817;3521817;3521817;3521817;3521817;3521817;3521817;3522461;3522461;3522461;3522461;3522461;3522461;3522461;3522775;3522775;3522775;3522775;3522775;3522775;3524633;3524633;3524633;3524633;3524633;3524633;3524883;3524883;3524883;3524883;3524883;3525042;3525042;3525042;3525042;3525042;3526165;3526165;3526165;3526165;3526165;3526165;3526328;3526328;3526328;3526328;3526328;3526328;3527428;3529440;3529440;3529440;3529440;3529440;3529767;3529767;3529767;3529767;3529767;3530370;3530370;3530370;3530370;3530370;3531045;3531045;3531045;3531045;3531045;3531202;3531202;3531202;3531202;3531202;3532017;3532411;3532411;3532411;3532411;3532411;3532460;3532598;3532598;3532598;3532598;3532598;3532598;3532603;3532761;3532761;3532761;3532761;3532761;3532761;3532761;3533375;3533375;3533375;3533375;3533375;3533375;3533375;3534814;3537323;3537323;3537323;3537323;3537323;3537323;3537323;3537323;3537555;3537555;3537636;3537671;3539112;3539112;3539112;3539112;3539112;3539112;3539112;3540574	3517827;3517827;3517827;3517827;3517827;3517827;3520916;3520916;3520916;3520916;3520916;3520916;3521968;3521968;3521968;3521968;3521968;3521968;3521968;3522554;3522578;3522578;3522578;3522578;3522578;3522578;3522948;3522948;3522948;3522948;3522948;3522948;3524726;3524726;3524726;3524726;3524726;3524726;3524945;3524945;3524945;3524945;3524945;3525206;3525206;3525206;3525206;3525206;3526240;3526240;3526240;3526240;3526240;3526240;3526480;3526480;3526480;3526480;3526480;3526480;3527937;3529612;3529612;3529612;3529612;3529612;3530282;3530282;3530282;3530282;3530282;3530441;3530441;3530441;3530441;3530441;3531117;3531117;3531117;3531117;3531117;3531522;3531522;3531522;3531522;3531522;3532069;3532508;3532508;3532508;3532508;3532508;3532508;3532676;3532676;3532676;3532676;3532676;3532676;3532676;3532854;3532854;3532854;3532854;3532854;3532854;3532854;3533523;3533523;3533523;3533523;3533523;3533523;3533523;3534852;3537436;3537436;3537436;3537436;3537436;3537436;3537436;3537398;3537605;3537605;3537743;3537743;3539249;3539251;3539323;3539292;3539292;3539252;3539239;3540612	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4380	1068
ENSMUSG00000087291	11;11;11;11;11;11;11;11	3530157;3530948;3532419;3532419;3533452;3533452;3536079;3536771	3530275;3531953;3532526;3532570;3533530;3536192;3536434;3536856	+;+;+;+;+;+;+;+	4346	11
ENSMUSG00000084962	11;11	3534238;3534760	3534362;3534907	+;+	273	0
ENSMUSG00000084211	11	3625477	3625848	-	372	2
ENSMUSG00000084310	11	3628824	3629661	+	838	0
ENSMUSG00000079889	11	3633012	3633442	-	431	3
ENSMUSG00000056579	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3639785;3639794;3639794;3642462;3644772;3644772;3644772;3644935;3644999;3646557;3646557;3646557;3646557;3646723;3646840;3648062;3648753;3648900	3645523;3643179;3643179;3643179;3645523;3645523;3647906;3645454;3645523;3647282;3647078;3647536;3647530;3647132;3647078;3649673;3648812;3649042	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9734	6683
ENSMUSG00000099081	11	3644776	3644952	-	177	0
ENSMUSG00000098265	11	3645286	3645521	-	236	0
ENSMUSG00000098503	11	3646942	3647029	-	88	0
ENSMUSG00000098948	11	3647179	3647325	-	147	0
ENSMUSG00000034543	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3649191;3649494;3649759;3650308;3650308;3658672;3658672;3658672;3661829;3661829;3661829;3668771;3668771;3668771;3669329;3669329;3669329;3672266;3672266;3675828;3675828;3676104;3676104;3676642;3676642;3677403;3677403;3678227;3678227;3678536;3678536;3679656;3679656;3679880;3679880;3679907;3680175;3680175;3680175;3680267;3680362;3680783;3680783;3680783;3680783;3681675;3681675;3681675;3681675;3683545;3683545;3683545;3683545;3683699;3683699;3684614;3684614;3684838;3684838;3685385;3685385;3685658;3685658;3685976;3685976;3688111;3688111;3689035;3689035	3650447;3650146;3650146;3650447;3650447;3658725;3658725;3658725;3661863;3661863;3661863;3668839;3668839;3668839;3669410;3669419;3669419;3672374;3672374;3675987;3675987;3676215;3676215;3676767;3676767;3677482;3677482;3678309;3678309;3678621;3678621;3679796;3679796;3680034;3680034;3680034;3680303;3680303;3680303;3680303;3680888;3680888;3681151;3680888;3680888;3681807;3681807;3681807;3681807;3683689;3683907;3683616;3683616;3684076;3684076;3684745;3684745;3684892;3684892;3685526;3685526;3685882;3685882;3686069;3686069;3688299;3688299;3690370;3690477	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6422	2619
ENSMUSG00000088250	11	3656663	3656791	-	129	2
ENSMUSG00000083015	11;11	3697430;3697909	3697519;3698326	-;-	508	2
