"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0034645","cellular macromolecule biosynthetic process","BP",285,63,136,0.999998551731678,9.8771013809367e-06
"GO:0036211","protein modification process","BP",261,79,98,0.872388389074696,0.420558997234393
"GO:0043170","macromolecule metabolic process","BP",573,144,253,0.999999993600783,2.44485821867941e-07
"GO:0043412","macromolecule modification","BP",272,79,107,0.951810176818727,0.18279270015449
"GO:0043413","macromolecule glycosylation","BP",7,3,2,0.421456398014824,0.796965780033131
"GO:0044237","cellular metabolic process","BP",639,183,267,0.99979478136949,7.27928190709283e-05
"GO:0044238","primary metabolic process","BP",620,171,263,0.999988936220845,1.6385360421872e-05
"GO:0044249","cellular biosynthetic process","BP",340,90,149,0.999151238438481,0.00101113669766047
"GO:0044260","cellular macromolecule metabolic process","BP",500,129,216,0.999998030105573,6.39006656448774e-05
"GO:0044267","cellular protein metabolic process","BP",339,97,131,0.982803592955179,0.226040483173637
"GO:0070085","glycosylation","BP",7,3,2,0.421456398014824,0.796965780033131
"GO:0071704","organic substance metabolic process","BP",656,187,272,0.999909148448358,0.000127489550809595
"GO:1901135","carbohydrate derivative metabolic process","BP",65,25,23,0.202262090579109,0.645379148905986
"GO:1901137","carbohydrate derivative biosynthetic process","BP",38,15,12,0.242628687687074,0.802279625183751
"GO:1901564","organonitrogen compound metabolic process","BP",423,135,155,0.743071929259946,0.565683179668076
"GO:1901566","organonitrogen compound biosynthetic process","BP",113,36,48,0.642892116488988,0.114615200300807
"GO:1901576","organic substance biosynthetic process","BP",350,95,151,0.997972186106586,0.00224602545044948
"GO:0001501","skeletal system development","BP",34,6,18,0.986788139654526,0.0381546263919676
"GO:0006139","nucleobase-containing compound metabolic process","BP",334,69,167,0.999999998091554,3.7559233872023e-09
"GO:0006325","chromatin organization","BP",62,13,31,0.988748239948255,0.0203239496145615
"GO:0006351","transcription, DNA-templated","BP",197,48,85,0.998482709168832,0.0273480807276465
"GO:0006355","regulation of transcription, DNA-templated","BP",192,48,81,0.99660630980191,0.0556316937733528
"GO:0006725","cellular aromatic compound metabolic process","BP",343,74,169,0.99999998520132,1.32115856130877e-08
"GO:0006996","organelle organization","BP",294,85,130,0.964160005110326,0.00162645641142089
"GO:0007275","multicellular organism development","BP",298,99,112,0.487858725477572,0.404158714414266
"GO:0009790","embryo development","BP",88,21,42,0.980062854426001,0.0194524668311885
"GO:0009792","embryo development ending in birth or egg hatching","BP",68,15,32,0.984956691245391,0.0487733689607633
"GO:0009889","regulation of biosynthetic process","BP",253,66,109,0.997027120738267,0.0125458368524693
"GO:0009890","negative regulation of biosynthetic process","BP",121,35,53,0.866297559351579,0.0583241932091579
"GO:0009892","negative regulation of metabolic process","BP",216,63,95,0.920775144504208,0.0102680028037387
"GO:0010467","gene expression","BP",342,76,159,0.999999907369495,8.47878118914175e-06
"GO:0010468","regulation of gene expression","BP",275,66,117,0.999918291848511,0.0153254441893967
"GO:0010556","regulation of macromolecule biosynthetic process","BP",239,59,107,0.999300258837035,0.0029470522698273
"GO:0010558","negative regulation of macromolecule biosynthetic process","BP",113,30,52,0.95122512543379,0.0223308441521736
"GO:0010605","negative regulation of macromolecule metabolic process","BP",191,51,88,0.983456213877308,0.00268204919027164
"GO:0010629","negative regulation of gene expression","BP",137,35,64,0.982220063024527,0.00751668173250517
"GO:0016043","cellular component organization","BP",410,124,175,0.937802273342037,0.00148573256723189
"GO:0016070","RNA metabolic process","BP",262,51,130,0.999999985228824,1.05956641895013e-06
"GO:0018130","heterocycle biosynthetic process","BP",240,61,106,0.998259187203647,0.00542864800718137
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",230,53,103,0.999909242408706,0.00357629262492316
"GO:0019222","regulation of metabolic process","BP",421,119,166,0.996055969780073,0.0944178604106887
"GO:0019438","aromatic compound biosynthetic process","BP",240,62,106,0.997126772852017,0.00542864800718137
"GO:0031323","regulation of cellular metabolic process","BP",388,109,158,0.995243174675717,0.0306351942558007
"GO:0031324","negative regulation of cellular metabolic process","BP",186,55,81,0.878976000409015,0.0242059274496845
"GO:0031326","regulation of cellular biosynthetic process","BP",247,63,108,0.998346379242286,0.00741659347446104
"GO:0031327","negative regulation of cellular biosynthetic process","BP",118,34,53,0.869481534330103,0.0355833914433859
"GO:0032501","multicellular organismal process","BP",390,133,148,0.305928580851524,0.310572455352456
"GO:0032502","developmental process","BP",353,121,131,0.291372448090919,0.474702840635521
"GO:0032774","RNA biosynthetic process","BP",198,48,86,0.998715872477276,0.0217920656960592
"GO:0034641","cellular nitrogen compound metabolic process","BP",389,89,189,0.999999956203008,3.79498540578384e-09
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",233,58,104,0.998924276817303,0.00389284946244985
"GO:0043009","chordate embryonic development","BP",65,14,31,0.986896898445749,0.042845304345685
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",285,70,131,0.999849085862787,0.000176435834235973
"GO:0045892","negative regulation of transcription, DNA-templated","BP",88,25,39,0.85781198041589,0.0820938897686604
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process","BP",101,27,49,0.936485448836549,0.00801582367056152
"GO:0046483","heterocycle metabolic process","BP",342,73,169,0.999999991798401,9.74185613690989e-09
"GO:0048519","negative regulation of biological process","BP",352,111,145,0.776952471173339,0.0253317998051441
"GO:0048523","negative regulation of cellular process","BP",324,104,133,0.680308718864868,0.0379072588780108
"GO:0048706","embryonic skeletal system development","BP",13,0,5,1,0.555969349832782
"GO:0048731","system development","BP",262,90,98,0.322620558292986,0.441684679758956
"GO:0048856","anatomical structure development","BP",324,110,120,0.357425531879547,0.49104542813305
"GO:0050789","regulation of biological process","BP",624,199,238,0.820742833154492,0.176888804153585
"GO:0050794","regulation of cellular process","BP",597,191,231,0.789130984531461,0.0997765797050638
"GO:0051171","regulation of nitrogen compound metabolic process","BP",360,96,152,0.999227921932162,0.00674864273990854
"GO:0051172","negative regulation of nitrogen compound metabolic process","BP",169,48,76,0.929126357387312,0.01175846062739
"GO:0051252","regulation of RNA metabolic process","BP",213,49,93,0.999836014529834,0.0142507294726525
"GO:0051253","negative regulation of RNA metabolic process","BP",96,27,44,0.880284163443933,0.037356466005829
"GO:0051276","chromosome organization","BP",96,16,59,0.999944252164621,2.79075434424758e-07
"GO:0060255","regulation of macromolecule metabolic process","BP",392,106,160,0.999225501799857,0.0265518373555231
"GO:0065007","biological regulation","BP",650,210,248,0.732092344994285,0.162920332330153
"GO:0071840","cellular component organization or biogenesis","BP",428,126,189,0.979036481583029,5.54387591011771e-05
"GO:0080090","regulation of primary metabolic process","BP",375,102,155,0.998584742219257,0.017068298312467
"GO:0090304","nucleic acid metabolic process","BP",298,54,155,0.999999999983566,3.84501125508493e-10
"GO:0097659","nucleic acid-templated transcription","BP",198,48,86,0.998715872477276,0.0217920656960592
"GO:1901360","organic cyclic compound metabolic process","BP",353,81,170,0.999999655617731,1.16672179535333e-07
"GO:1901362","organic cyclic compound biosynthetic process","BP",245,66,106,0.99107965638204,0.0119737271550458
"GO:1902679","negative regulation of RNA biosynthetic process","BP",88,25,39,0.85781198041589,0.0820938897686604
"GO:1903506","regulation of nucleic acid-templated transcription","BP",193,48,82,0.997099577502656,0.0454127335950949
"GO:1903507","negative regulation of nucleic acid-templated transcription","BP",88,25,39,0.85781198041589,0.0820938897686604
"GO:2000112","regulation of cellular macromolecule biosynthetic process","BP",233,55,106,0.9998129188619,0.00153949222721828
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process","BP",111,29,52,0.959584959871172,0.0149096247736334
"GO:2001141","regulation of RNA biosynthetic process","BP",193,48,82,0.997099577502656,0.0454127335950949
"GO:0006357","regulation of transcription by RNA polymerase II","BP",142,37,59,0.977156989629695,0.125635363850728
"GO:0006366","transcription by RNA polymerase II","BP",144,37,60,0.982814888329507,0.117332054127422
"GO:0006508","proteolysis","BP",97,26,32,0.930638393285946,0.823596479362706
"GO:0007399","nervous system development","BP",139,54,49,0.0721226607941322,0.6920545335258
"GO:0016569","covalent chromatin modification","BP",38,11,19,0.759374162497765,0.0636146791016748
"GO:0016570","histone modification","BP",37,11,18,0.723515869974293,0.0914467653342297
"GO:0016578","histone deubiquitination","BP",5,0,4,1,0.0645271007281625
"GO:0016579","protein deubiquitination","BP",8,1,5,0.95983044272002,0.127836746908948
"GO:0022008","neurogenesis","BP",119,44,43,0.190942323645069,0.603085060507053
"GO:0030154","cell differentiation","BP",235,83,85,0.21963693865771,0.621428114850497
"GO:0030182","neuron differentiation","BP",104,38,38,0.241405532068809,0.56557708774549
"GO:0035616","histone H2B conserved C-terminal lysine deubiquitination","BP",1,0,1,1,0.368376068376068
"GO:0045165","cell fate commitment","BP",11,3,6,0.759699011124022,0.180516587288686
"GO:0048663","neuron fate commitment","BP",1,0,1,1,0.368376068376068
"GO:0048699","generation of neurons","BP",114,43,41,0.152692712991731,0.617435201413198
"GO:0048863","stem cell differentiation","BP",13,2,8,0.960155245528195,0.0609335951130785
"GO:0048869","cellular developmental process","BP",243,85,90,0.252520807182806,0.499384278164691
"GO:0070646","protein modification by small protein removal","BP",11,1,7,0.988051728219192,0.0646142754862134
"GO:0070647","protein modification by small protein conjugation or removal","BP",73,15,31,0.994642845620388,0.182482835181367
"GO:0000003","reproduction","BP",86,25,40,0.821463736644616,0.0359077968389414
"GO:0003006","developmental process involved in reproduction","BP",51,16,21,0.651629282207828,0.302668333478103
"GO:0006259","DNA metabolic process","BP",66,8,42,0.999984807814362,4.93556862384851e-06
"GO:0006281","DNA repair","BP",41,5,25,0.999537196093775,0.00120261192271337
"GO:0006323","DNA packaging","BP",11,1,7,0.988051728219192,0.0646142754862134
"GO:0006338","chromatin remodeling","BP",14,3,9,0.891210389475857,0.0334322356824257
"GO:0006974","cellular response to DNA damage stimulus","BP",61,8,35,0.999929023559605,0.000646674152007395
"GO:0006997","nucleus organization","BP",13,4,4,0.669237964583999,0.767491176287152
"GO:0007276","gamete generation","BP",38,11,17,0.759374162497765,0.195214924521776
"GO:0007281","germ cell development","BP",17,5,6,0.710090252043072,0.642536156327717
"GO:0007283","spermatogenesis","BP",27,9,11,0.558053780212244,0.405479351831927
"GO:0007286","spermatid development","BP",12,3,5,0.81364025308764,0.470430217025865
"GO:0007289","spermatid nucleus differentiation","BP",1,0,0,1,1
"GO:0009056","catabolic process","BP",186,68,56,0.148489567988803,0.985350723578689
"GO:0009057","macromolecule catabolic process","BP",111,30,40,0.936431286430752,0.610442507596331
"GO:0010498","proteasomal protein catabolic process","BP",47,15,11,0.619037209514916,0.984778182055271
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process","BP",3,0,0,1,1
"GO:0019953","sexual reproduction","BP",46,16,20,0.452183013412644,0.21157748169202
"GO:0022412","cellular process involved in reproduction in multicellular organism","BP",22,6,9,0.786519484208691,0.422890744464405
"GO:0022414","reproductive process","BP",86,25,40,0.821463736644616,0.0359077968389414
"GO:0030163","protein catabolic process","BP",87,26,28,0.774529442373344,0.85358313359416
"GO:0032504","multicellular organism reproduction","BP",50,15,24,0.726663561056785,0.0654574943683576
"GO:0033554","cellular response to stress","BP",136,38,54,0.924998806034646,0.258924629534481
"GO:0034728","nucleosome organization","BP",9,0,6,1,0.0674096930250486
"GO:0035092","sperm chromatin condensation","BP",1,0,0,1,1
"GO:0035093","spermatogenesis, exchange of chromosomal proteins","BP",1,0,0,1,1
"GO:0043044","ATP-dependent chromatin remodeling","BP",4,1,2,0.798895615169579,0.46961733221483
"GO:0043486","histone exchange","BP",1,0,0,1,1
"GO:0043933","protein-containing complex subunit organization","BP",122,28,55,0.996100738219357,0.0299915130883299
"GO:0044248","cellular catabolic process","BP",160,56,51,0.309733759629653,0.932762838160685
"GO:0044257","cellular protein catabolic process","BP",72,21,23,0.798951759361893,0.844957191730363
"GO:0044265","cellular macromolecule catabolic process","BP",93,22,35,0.984549819817684,0.475182963640834
"GO:0044703","multi-organism reproductive process","BP",56,19,25,0.491112861978454,0.136271724272074
"GO:0048232","male gamete generation","BP",30,10,13,0.553627514008463,0.285807647917701
"GO:0048468","cell development","BP",144,54,51,0.128787993785339,0.678950870569594
"GO:0048515","spermatid differentiation","BP",12,3,5,0.81364025308764,0.470430217025865
"GO:0048609","multicellular organismal reproductive process","BP",50,15,24,0.726663561056785,0.0654574943683576
"GO:0051603","proteolysis involved in cellular protein catabolic process","BP",70,20,22,0.826585300308379,0.863842139542422
"GO:0051704","multi-organism process","BP",57,19,26,0.529170957354748,0.103428471922513
"GO:0071103","DNA conformation change","BP",15,2,10,0.97991013973643,0.0177783477020023
"GO:0071824","protein-DNA complex subunit organization","BP",20,1,12,0.999692820642773,0.0286444588385584
"GO:1901565","organonitrogen compound catabolic process","BP",101,33,31,0.568125256101074,0.927493999073369
"GO:1901575","organic substance catabolic process","BP",152,51,48,0.470901029647795,0.938237847978493
"GO:0000054","ribosomal subunit export from nucleus","BP",3,0,3,1,0.0497691017182855
"GO:0000055","ribosomal large subunit export from nucleus","BP",3,0,3,1,0.0497691017182855
"GO:0000056","ribosomal small subunit export from nucleus","BP",3,0,3,1,0.0497691017182855
"GO:0000122","negative regulation of transcription by RNA polymerase II","BP",59,20,21,0.490205392229028,0.6299241240752
"GO:0000226","microtubule cytoskeleton organization","BP",47,10,26,0.975029121179574,0.00649341313842457
"GO:0006403","RNA localization","BP",18,0,15,1,6.34244095491473e-05
"GO:0006405","RNA export from nucleus","BP",8,0,6,1,0.0324342515107264
"GO:0006511","ubiquitin-dependent protein catabolic process","BP",59,15,19,0.92341878753656,0.814174915876099
"GO:0006611","protein export from nucleus","BP",11,1,8,0.988051728219192,0.0167440300867469
"GO:0006810","transport","BP",302,131,91,7.41002281424747e-06,0.998132848751549
"GO:0006886","intracellular protein transport","BP",87,30,30,0.420774355220912,0.719973780142226
"GO:0006913","nucleocytoplasmic transport","BP",26,4,16,0.988562613215105,0.00844237425946998
"GO:0007010","cytoskeleton organization","BP",104,33,40,0.650546493467842,0.397335097100175
"GO:0007017","microtubule-based process","BP",62,17,31,0.864601576232048,0.0203239496145615
"GO:0007049","cell cycle","BP",144,35,77,0.994005284476164,1.03850320249219e-05
"GO:0007098","centrosome cycle","BP",11,1,8,0.988051728219192,0.0167440300867469
"GO:0008104","protein localization","BP",212,75,80,0.230135546440066,0.410952035741688
"GO:0009894","regulation of catabolic process","BP",80,26,26,0.582483511691609,0.829577871518205
"GO:0010564","regulation of cell cycle process","BP",56,12,32,0.981887704998037,0.00122785461505346
"GO:0010824","regulation of centrosome duplication","BP",5,0,5,1,0.00668439398615366
"GO:0015031","protein transport","BP",139,54,42,0.0721226607941322,0.966747847711068
"GO:0015833","peptide transport","BP",141,56,42,0.0444049610237893,0.975264365664333
"GO:0015931","nucleobase-containing compound transport","BP",16,1,13,0.998429969253792,0.000337620398604458
"GO:0019941","modification-dependent protein catabolic process","BP",61,16,20,0.90408580942261,0.789851016030897
"GO:0022402","cell cycle process","BP",103,24,56,0.990758624887323,0.000111888739029957
"GO:0022613","ribonucleoprotein complex biogenesis","BP",38,2,34,0.999996236730522,1.07336102242233e-11
"GO:0030162","regulation of proteolysis","BP",39,10,13,0.879914146211428,0.732669286061474
"GO:0031023","microtubule organizing center organization","BP",14,3,8,0.891210389475857,0.0976020743539486
"GO:0031329","regulation of cellular catabolic process","BP",63,19,22,0.732475969275267,0.673527782978528
"GO:0031503","protein-containing complex localization","BP",22,2,13,0.998356219061816,0.0268101154450694
"GO:0032268","regulation of cellular protein metabolic process","BP",187,59,75,0.704425032944768,0.176407939445153
"GO:0032386","regulation of intracellular transport","BP",32,8,13,0.880005048295331,0.390338560911697
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","BP",7,0,4,1,0.230612268883612
"GO:0032879","regulation of localization","BP",177,71,63,0.0187382639240824,0.674679590231034
"GO:0032880","regulation of protein localization","BP",79,30,30,0.19630578325617,0.458090870819566
"GO:0032886","regulation of microtubule-based process","BP",20,4,12,0.93732933543006,0.0286444588385584
"GO:0033036","macromolecule localization","BP",247,90,93,0.111540633349098,0.4098415365254
"GO:0033043","regulation of organelle organization","BP",112,31,51,0.915096674019835,0.0294933846368685
"GO:0033157","regulation of intracellular protein transport","BP",26,7,9,0.807940154083221,0.66555592375685
"GO:0033365","protein localization to organelle","BP",75,17,40,0.984126563413416,0.00192889711283523
"GO:0033750","ribosome localization","BP",3,0,3,1,0.0497691017182855
"GO:0034504","protein localization to nucleus","BP",30,7,16,0.912861454984242,0.0459766033461446
"GO:0034613","cellular protein localization","BP",150,48,62,0.641556541940574,0.129141550327842
"GO:0042176","regulation of protein catabolic process","BP",37,11,11,0.723515869974293,0.861526921338952
"GO:0042254","ribosome biogenesis","BP",31,1,28,0.999996664446088,5.22540569915423e-10
"GO:0042886","amide transport","BP",143,58,42,0.0261959936997089,0.981815847454332
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","BP",35,9,9,0.868245834296678,0.944313959907929
"GO:0043632","modification-dependent macromolecule catabolic process","BP",62,16,21,0.917819455749762,0.734330831689102
"GO:0044085","cellular component biogenesis","BP",219,59,106,0.986692822482743,6.83956094817407e-05
"GO:0045184","establishment of protein localization","BP",147,56,46,0.0953376457957884,0.9443615994383
"GO:0046605","regulation of centrosome cycle","BP",5,0,5,1,0.00668439398615366
"GO:0046822","regulation of nucleocytoplasmic transport","BP",11,2,6,0.922506040904838,0.180516587288686
"GO:0046825","regulation of protein export from nucleus","BP",5,1,3,0.865470480130593,0.264003351081446
"GO:0046907","intracellular transport","BP",126,47,39,0.161250435901408,0.940455655138781
"GO:0050657","nucleic acid transport","BP",15,0,13,1,9.50799325341203e-05
"GO:0050658","RNA transport","BP",15,0,13,1,9.50799325341203e-05
"GO:0051028","mRNA transport","BP",13,0,11,1,0.000544255283233355
"GO:0051049","regulation of transport","BP",117,44,41,0.154943228566086,0.698419826957932
"GO:0051128","regulation of cellular component organization","BP",187,57,76,0.810516560729692,0.137192472737362
"GO:0051168","nuclear export","BP",11,1,8,0.988051728219192,0.0167440300867469
"GO:0051169","nuclear transport","BP",26,4,16,0.988562613215105,0.00844237425946998
"GO:0051179","localization","BP",402,165,134,1.70021952440774e-05,0.969020408012779
"GO:0051223","regulation of protein transport","BP",53,17,20,0.610239405391304,0.498095812037101
"GO:0051234","establishment of localization","BP",312,133,96,1.97601860349507e-05,0.996361786929864
"GO:0051236","establishment of RNA localization","BP",15,0,13,1,9.50799325341203e-05
"GO:0051246","regulation of protein metabolic process","BP",205,65,81,0.694192673102785,0.213002895203596
"GO:0051298","centrosome duplication","BP",7,0,7,1,0.000892445416274443
"GO:0051493","regulation of cytoskeleton organization","BP",42,11,18,0.870253004908125,0.2521726554075
"GO:0051640","organelle localization","BP",60,24,21,0.148323744122039,0.666777677632008
"GO:0051641","cellular localization","BP",220,80,76,0.135679197574028,0.804712504282568
"GO:0051649","establishment of localization in cell","BP",162,61,48,0.102777874001494,0.984644838895314
"GO:0051656","establishment of organelle localization","BP",47,18,19,0.260808917268587,0.353270673456632
"GO:0051726","regulation of cell cycle","BP",95,24,52,0.965153884931398,0.00016041555976126
"GO:0060341","regulation of cellular localization","BP",78,31,27,0.118204466922976,0.703905631073613
"GO:0061136","regulation of proteasomal protein catabolic process","BP",18,5,6,0.761449653132361,0.705300125382341
"GO:0070201","regulation of establishment of protein localization","BP",56,17,22,0.713820423953751,0.398361420302067
"GO:0070507","regulation of microtubule cytoskeleton organization","BP",16,3,10,0.938536052516792,0.0320769207057658
"GO:0070727","cellular macromolecule localization","BP",151,48,63,0.663910877290842,0.107472971488973
"GO:0071166","ribonucleoprotein complex localization","BP",8,0,6,1,0.0324342515107264
"GO:0071426","ribonucleoprotein complex export from nucleus","BP",8,0,6,1,0.0324342515107264
"GO:0071428","rRNA-containing ribonucleoprotein complex export from nucleus","BP",3,0,3,1,0.0497691017182855
"GO:0071702","organic substance transport","BP",211,95,62,3.7963808652887e-05,0.99517262691982
"GO:0071705","nitrogen compound transport","BP",170,73,52,0.00215926322009547,0.973195221295258
"GO:0090087","regulation of peptide transport","BP",54,18,20,0.531100531568276,0.540494724010272
"GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","BP",20,5,7,0.843093290093992,0.650600034410952
"GO:1903362","regulation of cellular protein catabolic process","BP",21,6,7,0.742924471121115,0.708433362030003
"GO:1903827","regulation of cellular protein localization","BP",54,19,20,0.413979230335533,0.540494724010272
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process","BP",9,0,5,1,0.203370564263822
"GO:0000132","establishment of mitotic spindle orientation","BP",4,1,1,0.798895615169579,0.841316405085412
"GO:0000209","protein polyubiquitination","BP",19,3,5,0.975122172410791,0.886988370623532
"GO:0000278","mitotic cell cycle","BP",75,14,45,0.998569635728714,2.15353338218076e-05
"GO:0006470","protein dephosphorylation","BP",22,4,11,0.963669407035328,0.142897643418076
"GO:0006793","phosphorus metabolic process","BP",230,80,82,0.28437700226551,0.687534664176766
"GO:0006796","phosphate-containing compound metabolic process","BP",228,79,82,0.301985878312964,0.647045768063321
"GO:0006928","movement of cell or subcellular component","BP",129,53,41,0.0254602772516166,0.913870209739516
"GO:0007018","microtubule-based movement","BP",25,9,8,0.447683605349727,0.75999539321259
"GO:0007097","nuclear migration","BP",4,2,0,0.401321773712254,1
"GO:0007154","cell communication","BP",313,112,106,0.123876837306686,0.910602538062159
"GO:0007163","establishment or maintenance of cell polarity","BP",22,9,6,0.27950141806236,0.879189570520462
"GO:0007165","signal transduction","BP",291,105,100,0.111217952872411,0.859886707071783
"GO:0007166","cell surface receptor signaling pathway","BP",152,54,51,0.266073740431109,0.83895165860167
"GO:0007267","cell-cell signaling","BP",98,34,41,0.392829142849,0.167754770612889
"GO:0007417","central nervous system development","BP",55,19,19,0.452599874469627,0.68969902009518
"GO:0007420","brain development","BP",41,11,16,0.847233433417286,0.442825333168161
"GO:0007623","circadian rhythm","BP",19,7,7,0.444064604213399,0.586473548552364
"GO:0008088","axo-dendritic transport","BP",8,2,3,0.800186179038453,0.615780346564365
"GO:0008090","retrograde axonal transport","BP",5,2,1,0.532596155325521,0.899972176447494
"GO:0009653","anatomical structure morphogenesis","BP",167,54,60,0.609063721279436,0.634904790168328
"GO:0009887","animal organ morphogenesis","BP",57,14,28,0.940294069462515,0.0350589878710316
"GO:0009891","positive regulation of biosynthetic process","BP",138,39,59,0.913525896466156,0.0757427057264687
"GO:0009893","positive regulation of metabolic process","BP",254,76,94,0.895180409216193,0.502499949820373
"GO:0009966","regulation of signal transduction","BP",196,73,67,0.0966497228179652,0.822427852805973
"GO:0009968","negative regulation of signal transduction","BP",88,35,33,0.0998027371521568,0.488971791374825
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",128,34,58,0.960780114450687,0.023142106312005
"GO:0010604","positive regulation of macromolecule metabolic process","BP",236,70,90,0.903076241742951,0.348107849171075
"GO:0010628","positive regulation of gene expression","BP",152,44,63,0.891354813282988,0.120785775894293
"GO:0010646","regulation of cell communication","BP",214,78,73,0.133859042403809,0.839580887641171
"GO:0010648","negative regulation of cell communication","BP",93,38,34,0.0601162887395597,0.564284018948471
"GO:0010970","transport along microtubule","BP",13,5,5,0.437309256693797,0.555969349832782
"GO:0016055","Wnt signaling pathway","BP",33,8,16,0.901175968426066,0.111521089915804
"GO:0016311","dephosphorylation","BP",31,10,11,0.603060712335381,0.630094932892407
"GO:0016567","protein ubiquitination","BP",61,14,23,0.971131312370408,0.492535007779355
"GO:0023051","regulation of signaling","BP",216,78,73,0.158694902729967,0.865497680146778
"GO:0023052","signaling","BP",312,110,106,0.177779522435127,0.902332757270259
"GO:0023057","negative regulation of signaling","BP",93,38,34,0.0601162887395597,0.564284018948471
"GO:0030010","establishment of cell polarity","BP",18,8,6,0.2122354755127,0.705300125382341
"GO:0030705","cytoskeleton-dependent intracellular transport","BP",20,7,8,0.507994731867086,0.467381503386413
"GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","BP",4,1,1,0.798895615169579,0.841316405085412
"GO:0031325","positive regulation of cellular metabolic process","BP",226,67,85,0.898538435729213,0.422545073796605
"GO:0031328","positive regulation of cellular biosynthetic process","BP",133,37,58,0.927319716114927,0.0531348569104413
"GO:0031647","regulation of protein stability","BP",28,7,14,0.868800679498467,0.104532147675588
"GO:0031648","protein destabilization","BP",7,3,1,0.421456398014824,0.960313577803809
"GO:0032270","positive regulation of cellular protein metabolic process","BP",107,37,40,0.394406023564289,0.489959472002775
"GO:0032446","protein modification by small protein conjugation","BP",64,14,25,0.983946588004196,0.399045294900218
"GO:0035556","intracellular signal transduction","BP",171,63,63,0.142286677571603,0.531532918171918
"GO:0038061","NIK/NF-kappaB signaling","BP",6,1,2,0.910044209460714,0.714942168073546
"GO:0040001","establishment of mitotic spindle localization","BP",5,1,2,0.865470480130593,0.606693319637086
"GO:0042752","regulation of circadian rhythm","BP",9,2,5,0.85308036278837,0.203370564263822
"GO:0042753","positive regulation of circadian rhythm","BP",2,1,0,0.551174573929065,1
"GO:0045862","positive regulation of proteolysis","BP",18,7,5,0.378848726105809,0.853608052260058
"GO:0045893","positive regulation of transcription, DNA-templated","BP",105,30,44,0.868938744262016,0.153389538200707
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","BP",129,34,55,0.965737458524401,0.0891685914277814
"GO:0047496","vesicle transport along microtubule","BP",6,3,1,0.31258479901659,0.936978178122284
"GO:0048511","rhythmic process","BP",29,10,11,0.501994408949717,0.52178398332673
"GO:0048513","animal organ development","BP",177,60,65,0.421396653064542,0.545250187065114
